Routing Tracker #,Doc Tracer #,Equipment/Product,Category,IL-Tag,Status,Sent/Routing To,Email,Date Sent,Report/Protocol,Batch No.,Client Name,Department,Prepared By,Date Prepared,Checked By,Date Checked,Target Completion Date,Remarks,Created At,Updated At,Updated By,Signatories,Total Routing Duration,Routing Completed At
i6Am,ER-SYS-04-018-021/26,STOCK REAGENT ROOM THERMAL MAPPING,Non-process,N/A,Completed,Riza,,2026-06-15,Report,,NA,QC Plant 1,RDM,2026-06-15,CML,2026-06-15,,n/a,6/15/2026 7:39:16,6/17/2026 8:52:36,Unknown user,"[{""Name"":""Riza"",""Order"":1,""Status"":""Active"",""Date/time forwarded"":""2026-06-17 08:52:00"",""Date/time signed"":"""",""Duration pending/signing time"":""""}]",,
LUBW,VMP-MM-02-000-117R-11,ROBITUSSIN DM 15MG /100MG per 5ML SYRUP (RDMS),Process,n/a,Sent,Client,,2026-06-17,Ver. Report,2026RDMS-18 ,Haleon,LPM,ADF,2026-06-15,CML,2026-06-15,2026-06-30,"For client's signature, sent to client c/o Carl 17June2026",6/15/2026 7:57:08,6/17/2026 17:13:59,carlolidres@gmail.com,"[{""Name"":""Steve"",""Order"":1,""Status"":""Signed"",""Date/time forwarded"":""2026-06-15 07:57:08"",""Date/time signed"":""2026-06-15 08:45:07"",""Duration pending/signing time"":""48 mins""},{""Name"":""Nadia"",""Order"":2,""Status"":""Signed"",""Date/time forwarded"":""2026-06-15 08:45:07"",""Date/time signed"":""2026-06-15 14:02:22"",""Duration pending/signing time"":""5 hrs 17 mins""},{""Name"":""Aiza"",""Order"":3,""Status"":""Signed"",""Date/time forwarded"":""2026-06-15 14:02:22"",""Date/time signed"":""2026-06-16 17:40:18"",""Duration pending/signing time"":""1 day 3 hrs""},{""Name"":""Ron"",""Order"":4,""Status"":""Signed"",""Date/time forwarded"":""2026-06-16 17:40:18"",""Date/time signed"":""2026-06-17 08:02:39"",""Duration pending/signing time"":""14 hrs 22 mins""},{""Name"":""Fong"",""Order"":5,""Status"":""Signed"",""Date/time forwarded"":""2026-06-17 08:02:39"",""Date/time signed"":""2026-06-17 10:05:13"",""Duration pending/signing time"":""2 hrs 3 mins""},{""Name"":""Jon"",""Order"":6,""Status"":""Signed"",""Date/time forwarded"":""2026-06-17 10:05:13"",""Date/time signed"":""2026-06-17 10:05:26"",""Duration pending/signing time"":""0 mins""}]",2 days 2 hrs,2026-06-17 10:05:26
ACdV,VMP-EQ-01-000-146R-1,GKF 800 Encapsulating Machine,Non-process,IL-0029,Routing,Marvin,,2026-06-15,Report,N/A,NA,DPM,RDM,2026-06-15,CML,2026-06-15,2026-06-17,n/a,6/15/2026 9:51:20,6/17/2026 8:50:19,Unknown user,"[{""Name"":""Steve"",""Order"":1,""Status"":""Signed"",""Date/time forwarded"":""2026-06-15 09:51:20"",""Date/time signed"":""2026-06-17 08:27:31"",""Duration pending/signing time"":""1 day 22 hrs""},{""Name"":""Kitel"",""Order"":2,""Status"":""Signed"",""Date/time forwarded"":""2026-06-17 08:27:31"",""Date/time signed"":""2026-06-17 08:50:03"",""Duration pending/signing time"":""23 mins""},{""Name"":""Marvin"",""Order"":3,""Status"":""Active"",""Date/time forwarded"":""2026-06-17 08:50:03"",""Date/time signed"":"""",""Duration pending/signing time"":""""},{""Name"":""Ron"",""Order"":4,""Status"":""Pending"",""Date/time forwarded"":"""",""Date/time signed"":"""",""Duration pending/signing time"":""""},{""Name"":""Fong"",""Order"":5,""Status"":""Pending"",""Date/time forwarded"":"""",""Date/time signed"":"""",""Duration pending/signing time"":""""},{""Name"":""Jon"",""Order"":6,""Status"":""Pending"",""Date/time forwarded"":"""",""Date/time signed"":"""",""Duration pending/signing time"":""""}]",,
YZ3i,VMP-MM-02-000-075E-12,Clusivol Syrup (CSY),Process,NA,Routing,Fong,,2026-06-16,Verif. Endorsement Report,,,LPP,ADF & CML,2026-06-16,,,,n/a,6/16/2026 8:44:46,6/17/2026 8:31:19,Unknown user,"[{""Name"":""Steve"",""Order"":1,""Status"":""Signed"",""Date/time forwarded"":""2026-06-16 08:45:44"",""Date/time signed"":""2026-06-17 08:31:19"",""Duration pending/signing time"":""23 hrs 46 mins""},{""Name"":""Fong"",""Order"":2,""Status"":""Active"",""Date/time forwarded"":""2026-06-17 08:31:19"",""Date/time signed"":"""",""Duration pending/signing time"":""""}]",,
ReeF,VMP-CS-000-002P-4,Windows Laboratory Information Management System (WINLIMS),Non-process,NA,Routing,Nadia,,2026-06-16,Val. Protocol,,,QC Plant 1,CML,2026-06-16,,,,n/a,6/16/2026 8:50:34,6/17/2026 8:22:08,Unknown user,"[{""Name"":""Steve"",""Order"":1,""Status"":""Signed"",""Date/time forwarded"":""2026-06-16 08:51:35"",""Date/time signed"":""2026-06-17 08:22:08"",""Duration pending/signing time"":""23 hrs 31 mins""},{""Name"":""Nadia"",""Order"":2,""Status"":""Active"",""Date/time forwarded"":""2026-06-17 08:22:08"",""Date/time signed"":"""",""Duration pending/signing time"":""""}]",,
aKUz,VMP-MM-07-000-002R-1,Lab Solutions DB (CBM-20A) Version 6.43 (Shimadzu 10ATVP),Non-process,n/a,Routing,Nadia,,,Report,,,QC Plant 1,RDM,2026-06-15,CML,2026-06-16,,n/a,6/16/2026 9:56:15,6/17/2026 8:26:23,Unknown user,"[{""Name"":""Nadia"",""Order"":1,""Status"":""Active"",""Date/time forwarded"":""2026-06-16 09:56:15"",""Date/time signed"":"""",""Duration pending/signing time"":""""},{""Name"":""Bong"",""Order"":2,""Status"":""Pending"",""Date/time forwarded"":"""",""Date/time signed"":"""",""Duration pending/signing time"":""""}]",,
ZaDt,VMP-MM-CS-06-000-004R-1,OpenLab Chromatography Data Systems (CDS) Version C.01.07,Non-process,n/a,Routing,Nadia,,,Report,,,QC Plant 1,RDM,2026-06-15,CML,2026-06-16,,n/a,6/16/2026 14:19:18,6/17/2026 8:25:01,Unknown user,"[{""Name"":""Nadia"",""Order"":1,""Status"":""Active"",""Date/time forwarded"":""2026-06-16 14:19:18"",""Date/time signed"":"""",""Duration pending/signing time"":""""},{""Name"":""Bong"",""Order"":2,""Status"":""Pending"",""Date/time forwarded"":"""",""Date/time signed"":"""",""Duration pending/signing time"":""""}]",,
YL81,VMP-CM-01-000-052R-1,Equipment Train For Isordil Sublingual 5mg Tablet (ILS5),Others,NA,Routing,Nadia,,2026-06-17,Val. Report,NA,NA,DPM,LAL,2026-06-17,,2026-06-17,,n/a,6/17/2026 7:31:13,6/17/2026 8:28:22,Unknown user,"[{""Name"":""Steve"",""Order"":1,""Status"":""Signed"",""Date/time forwarded"":""2026-06-17 07:31:13"",""Date/time signed"":""2026-06-17 08:28:22"",""Duration pending/signing time"":""57 mins""},{""Name"":""Nadia"",""Order"":2,""Status"":""Active"",""Date/time forwarded"":""2026-06-17 08:28:22"",""Date/time signed"":"""",""Duration pending/signing time"":""""}]",,
Lu1K,VMP-MM-02-000-110R-23,BACTIDOL 0.1% SOLUTION (BACS),Process,n/a,Routing,Aiza,,2026-06-18,Ver. Report,2026BACS-19,"JNTL Consumer Health (Philippines), Inc.",LPP,ADF,2026-06-18,CML,2026-06-18,2026-06-30,n/a,6/18/2026 8:52:04,6/18/2026 14:21:14,Unknown user,"[{""Name"":""Steve"",""Order"":1,""Status"":""Signed"",""Date/time forwarded"":""2026-06-18 08:52:04"",""Date/time signed"":""2026-06-18 09:04:32"",""Duration pending/signing time"":""12 mins""},{""Name"":""Nadia"",""Order"":2,""Status"":""Signed"",""Date/time forwarded"":""2026-06-18 09:04:32"",""Date/time signed"":""2026-06-18 14:15:59"",""Duration pending/signing time"":""5 hrs 11 mins""},{""Name"":""Aiza"",""Order"":3,""Status"":""Active"",""Date/time forwarded"":""2026-06-18 14:15:59"",""Date/time signed"":"""",""Duration pending/signing time"":""""},{""Name"":""Ron"",""Order"":4,""Status"":""Pending"",""Date/time forwarded"":"""",""Date/time signed"":"""",""Duration pending/signing time"":""""},{""Name"":""Fong"",""Order"":5,""Status"":""Pending"",""Date/time forwarded"":"""",""Date/time signed"":"""",""Duration pending/signing time"":""""},{""Name"":""Jon"",""Order"":6,""Status"":""Pending"",""Date/time forwarded"":"""",""Date/time signed"":"""",""Duration pending/signing time"":""""}]",,
qKIG,VMP-MM-02-000-110R-24,BACTIDOL 0.1% SOLUTION (BACS),Process,n/a,Routing,Aiza,,2026-06-18,Ver. Report,2026BACS-20,"JNTL Consumer Health (Philippines), Inc.",LPP,ADF,2026-06-18,CML,2026-06-18,2026-06-30,n/a,6/18/2026 8:54:28,6/18/2026 14:21:55,Unknown user,"[{""Name"":""Steve"",""Order"":1,""Status"":""Signed"",""Date/time forwarded"":""2026-06-18 08:55:00"",""Date/time signed"":""2026-06-18 09:05:03"",""Duration pending/signing time"":""10 mins""},{""Name"":""Nadia"",""Order"":2,""Status"":""Signed"",""Date/time forwarded"":""2026-06-18 09:05:03"",""Date/time signed"":""2026-06-18 14:21:39"",""Duration pending/signing time"":""5 hrs 17 mins""},{""Name"":""Aiza"",""Order"":3,""Status"":""Active"",""Date/time forwarded"":""2026-06-18 14:21:39"",""Date/time signed"":"""",""Duration pending/signing time"":""""},{""Name"":""Ron"",""Order"":4,""Status"":""Pending"",""Date/time forwarded"":"""",""Date/time signed"":"""",""Duration pending/signing time"":""""},{""Name"":""Fong"",""Order"":5,""Status"":""Pending"",""Date/time forwarded"":"""",""Date/time signed"":"""",""Duration pending/signing time"":""""},{""Name"":""Jon"",""Order"":6,""Status"":""Pending"",""Date/time forwarded"":"""",""Date/time signed"":"""",""Duration pending/signing time"":""""}]",,
23i3,VMP-CS-01-000-007R(17)/26,Backup and Restore Verification of Openlab CDS Version C.01.07 (LC 29),Non-process,n/a,Routing,Carl,,2026-06-18,Ver. Report,,,QC Plant 1,NIV,2026-06-18,CML,2026-06-18,,n/a,6/18/2026 11:02:57,6/18/2026 11:02:57,Unknown user,"[{""Name"":""Carl"",""Order"":1,""Status"":""Active"",""Date/time forwarded"":""2026-06-18 11:02:56"",""Date/time signed"":"""",""Duration pending/signing time"":""""}]",,
Xr9g,VMP-CS-04-000-007R(1)/26,Backup and Restore Verification of HPLC Shimadzu (LC 40),Non-process,n/a,Routing,Carl,,2026-06-18,Ver. Report,,,QC Plant 1,RDM,2025-08-18,,,,n/a,6/18/2026 13:18:43,6/18/2026 13:18:43,Unknown user,"[{""Name"":""Carl"",""Order"":1,""Status"":""Active"",""Date/time forwarded"":""2026-06-18 13:18:43"",""Date/time signed"":"""",""Duration pending/signing time"":""""}]",,
